id,round time,restarts,average time
1,0:35.546,1,0:35.546
2,1:89.241,4,0:22.31025
3,2:136.838,6,0:22.806334
4,0:11.298,1,0:11.298
5,0:19.182,1,0:19.182
6,0:5.9,1,0:5.9
7,0:16.785,1,0:16.785
8,4:249.713,12,0:20.809416
9,0:9.864,1,0:9.864
10,2:152.525,3,0:50.841667
11,0:41.441,2,0:20.7205
12,0:6.723,1,0:6.723
13,0:17.427,1,0:17.427
14,1:78.962,2,0:39.481
15,0:19.375,1,0:19.375
16,1:71.28,3,0:23.76
17,3:204.452,9,0:22.716888
18,0:14.48,1,0:14.48
19,0:23.03,1,0:23.03
20,0:14.984,1,0:14.984
21,0:40.69,1,0:40.69
22,0:17.567,1,0:17.567
23,0:17.234,1,0:17.234
24,0:14.383,1,0:14.383
25,0:23.977,1,0:23.977
26,0:15.675,1,0:15.675
27,0:13.43,1,0:13.43
28,0:33.095,1,0:33.095
29,0:17.729,1,0:17.729
30,0:20.86,1,0:20.86
31,2:126.824,1,2:126.824
32,0:8.285,1,0:8.285
33,6:380.61,4,1:95.1525
34,0:10.251,1,0:10.251
35,0:27.157,1,0:27.157
36,0:41.985,1,0:41.985
37,4:258.183,3,1:86.061
38,0:6.315,1,0:6.315
39,1:87.921,5,0:17.5842
40,22:1341.282,9,2:149.03133
41,0:16.498,1,0:16.498
42,0:6.371,1,0:6.371
43,4:241.501,6,0:40.250168
44,0:5.275,1,0:5.275
45,0:11.651,1,0:11.651
46,0:3.934,1,0:3.934
47,5:327.86,8,0:40.9825
48,0:24.664,1,0:24.664
49,0:14.065,1,0:14.065
50,0:14.463,1,0:14.463
51,0:18.933,1,0:18.933
52,0:11.848,1,0:11.848
53,0:14.548,1,0:14.548
54,0:17.426,1,0:17.426
55,0:18.089,1,0:18.089
56,0:26.38,1,0:26.38
57,0:21.579,1,0:21.579
58,0:16.796,1,0:16.796
59,0:19.613,1,0:19.613
60,0:8.486,1,0:8.486
61,0:11.31,1,0:11.31
62,0:13.093,1,0:13.093
63,0:21.382,1,0:21.382
64,5:331.244,12,0:27.603666
65,8:536.494,13,0:41.26877
66,0:6.434,1,0:6.434
67,5:355.185,10,0:35.5185
68,0:12.631,1,0:12.631
69,0:10.449,1,0:10.449
70,0:18.043,1,0:18.043
71,0:31.926,1,0:31.926
72,0:15.532,1,0:15.532
73,0:34.956,1,0:34.956
74,0:13.084,1,0:13.084
75,0:23.603,1,0:23.603
76,0:9.668,1,0:9.668
77,0:27.342,1,0:27.342
78,0:23.979,1,0:23.979
79,0:11.459,1,0:11.459
80,0:33.769,1,0:33.769
81,0:59.927,1,0:59.927
82,2:155.641,8,0:19.455126
83,0:5.604,1,0:5.604
84,0:28.641,1,0:28.641
85,1:81.178,5,0:16.2356
86,0:5.331,1,0:5.331
87,0:14.483,1,0:14.483
88,0:21.063,1,0:21.063
89,0:30.276,1,0:30.276
90,0:13.712,1,0:13.712
91,1:109.929,4,0:27.48225
92,0:13.019,1,0:13.019
93,0:18.238,1,0:18.238
94,1:95.675,3,0:31.891666
95,0:6.514,1,0:6.514
96,0:7.309,1,0:7.309
97,0:16.957,1,0:16.957
98,0:13.683,1,0:13.683
99,0:15.731,1,0:15.731
100,0:7.207,1,0:7.207
101,0:17.91,1,0:17.91
102,0:27.249,1,0:27.249
103,0:56.169,1,0:56.169
104,1:64.738,2,0:32.369
105,0:5.864,1,0:5.864
106,1:87.514,1,1:87.514
107,0:19.457,1,0:19.457
108,1:99.522,3,0:33.174
109,0:17.894,1,0:17.894
110,0:22.882,1,0:22.882
111,0:8.765,1,0:8.765
